country,population
Afghanistan,38.041754
Albania,2.854191
Algeria,43.053054
American Samoa,0.055312
Andorra,0.077142
Angola,31.825295
Antigua and Barbuda,0.097118
Argentina,44.938712
Armenia,2.957731
Aruba,0.106314
Australia,25.364307
Austria,8.877067
Azerbaijan,10.023318
"Bahamas, The",0.389482
Bahrain,1.641172
Bangladesh,163.046161
Barbados,0.287025
Belarus,9.466856
Belgium,11.484055
Belize,0.390353
Benin,11.801151
Bermuda,0.063918
Bhutan,0.763092
Bolivia,11.5131
Bosnia and Herzegovina,3.301
Botswana,2.303697
Brazil,211.049527
British Virgin Islands,0.03003
Brunei Darussalam,0.433285
Bulgaria,6.975761
Burkina Faso,20.321378
Burundi,11.53058
Cabo Verde,0.549935
Cambodia,16.486542
Cameroon,25.87638
Canada,37.589262
Cayman Islands,0.064948
Central African Republic,4.745185
Chad,15.946876
Channel Islands,0.172259
Chile,18.952038
China,1397.715
Colombia,50.339443
Comoros,0.850886
"Congo, Dem. Rep.",86.790567
"Congo, Rep.",5.380508
Costa Rica,5.047561
Cote d'Ivoire,25.716544
Croatia,4.0675
Cuba,11.333483
Curacao,0.157538
Cyprus,1.198575
Czech Republic,10.669709
Denmark,5.818553
Djibouti,0.97356
Dominica,0.071808
Dominican Republic,10.738958
Ecuador,17.373662
"Egypt, Arab Rep.",100.388073
El Salvador,6.453553
Equatorial Guinea,1.355986
Estonia,1.32659
Eswatini,1.14813
Ethiopia,112.07873
Faroe Islands,0.048678
Fiji,0.889953
Finland,5.520314
France,67.059887
French Polynesia,0.279287
Gabon,2.172579
"Gambia, The",2.347706
Georgia,3.720382
Germany,83.132799
Ghana,30.417856
Gibraltar,0.033701
Greece,10.716322
Greenland,0.056225
Grenada,0.112003
Guam,0.167294
Guatemala,16.604026
Guinea,12.771246
Guinea-Bissau,1.920922
Guyana,0.782766
Haiti,11.263077
Honduras,9.746117
Hungary,9.769949
Iceland,0.361313
India,1366.417754
Indonesia,270.625568
"Iran, Islamic Rep.",82.913906
Iraq,39.309783
Ireland,4.941444
Isle of Man,0.084584
Israel,9.0533
Italy,60.297396
Jamaica,2.948279
Japan,126.264931
Jordan,10.101694
Kazakhstan,18.51393
Kenya,52.573973
Kiribati,0.117606
"Korea, Dem. Peopleâ€™s Rep.",25.666161
"Korea, Rep.",51.709098
Kuwait,4.207083
Kyrgyz Republic,6.4569
Lao PDR,7.169455
Latvia,1.912789
Lebanon,6.855713
Lesotho,2.125268
Liberia,4.937374
Libya,6.777452
Liechtenstein,0.038019
Lithuania,2.786844
Luxembourg,0.619896
"Macao SAR, China",0.640445
Madagascar,26.969307
Malawi,18.628747
Malaysia,31.949777
Maldives,0.530953
Mali,19.658031
Malta,0.502653
Marshall Islands,0.058791
Mauritania,4.525696
Mauritius,1.265711
Mexico,127.575529
"Micronesia, Fed. Sts.",0.113815
Moldova,2.657637
Monaco,0.038964
Mongolia,3.225167
Montenegro,0.622137
Morocco,36.471769
Mozambique,30.366036
Myanmar,54.04542
Namibia,2.49453
Nauru,0.012581
Nepal,28.60871
Netherlands,17.33285
New Caledonia,0.2878
New Zealand,4.917
Nicaragua,6.545502
Niger,23.310715
Nigeria,200.963599
North Macedonia,2.083459
Northern Mariana Islands,0.057216
Norway,5.347896
Oman,4.974986
Pakistan,216.565318
Palau,0.018008
Panama,4.246439
Papua New Guinea,8.776109
Paraguay,7.044636
Peru,32.510453
Philippines,108.116615
Poland,37.970874
Portugal,10.269417
Puerto Rico,3.193694
Qatar,2.832067
Romania,19.356544
Russian Federation,144.373535
Rwanda,12.62695
Samoa,0.197097
San Marino,0.03386
Sao Tome and Principe,0.215056
Saudi Arabia,34.268528
Senegal,16.296364
Serbia,6.944975
Seychelles,0.097625
Sierra Leone,7.813215
Singapore,5.703569
Sint Maarten (Dutch part),0.040733
Slovak Republic,5.454073
Slovenia,2.087946
Solomon Islands,0.669823
Somalia,15.442905
South Africa,58.55827
South Sudan,11.062113
Spain,47.076781
Sri Lanka,21.803
St. Kitts and Nevis,0.052823
St. Lucia,0.18279
St. Martin (French part),0.038002
St. Vincent and the Grenadines,0.110589
Sudan,42.813238
Suriname,0.581372
Sweden,10.285453
Switzerland,8.574832
Syrian Arab Republic,17.070135
Tajikistan,9.321018
Tanzania,58.005463
Thailand,69.625582
Timor-Leste,1.293119
Togo,8.082366
Tonga,0.104494
Trinidad and Tobago,1.394973
Tunisia,11.694719
Turkey,83.429615
Turkmenistan,5.942089
Turks and Caicos Islands,0.038191
Tuvalu,0.011646
Uganda,44.269594
Ukraine,44.385155
United Arab Emirates,9.770529
United Kingdom,66.834405
United States,328.239523
Uruguay,3.461734
Uzbekistan,33.58065
Vanuatu,0.299882
"Venezuela, RB",28.515829
Vietnam,96.462106
Virgin Islands (U.S.),0.106631
West Bank and Gaza,4.685306
"Yemen, Rep.",29.161922
Zambia,17.86103
Zimbabwe,14.645468
